알콜도수,당도,산도_ph,종류
8.9,14,2.89,화이트와인
8.9,14,2.89,화이트와인
12.4,1.5,3.29,화이트와인
12.1,1.4,3.36,화이트와인
12.1,1.4,3.36,화이트와인
12.4,1.5,3.29,화이트와인
9.1,14.5,2.98,화이트와인
10.6,4.8,3.28,화이트와인
8.9,14,2.89,화이트와인
9.5,13.1,3.15,화이트와인
9.8,13,3.16,화이트와인
9.6,8.7,3.14,화이트와인
12.6,2.4,3.08,화이트와인
9.3,8.95,3.08,화이트와인
10,9.85,2.87,화이트와인
12.7,1.5,3.12,화이트와인
11,1.5,3.13,화이트와인
11.4,0.8,3.03,화이트와인
11.5,4.55,3.35,화이트와인
10.2,17.7,3.09,화이트와인
11.4,7.5,3.11,화이트와인
12.6,5.1,3.03,화이트와인
9.4,12.9,3.28,화이트와인
8.7,1.2,3.11,화이트와인
9.2,5.5,3.19,화이트와인
9.3,5.5,3.19,화이트와인
9.2,1.2,3.09,화이트와인
8.7,22,2.93,화이트와인
9.6,14,3.18,화이트와인
9.3,11.9,3.02,화이트와인
9.3,11.9,3.02,화이트와인
9.9,9.4,3.12,화이트와인
11,4.2,3.15,화이트와인
12.7,3.8,3.26,화이트와인
8.9,8.5,3.09,화이트와인
8.9,8.5,3.09,화이트와인
8.7,22,2.93,화이트와인
11.4,8,3.02,화이트와인
9.6,5.1,3.36,화이트와인
9.1,3.6,3.02,화이트와인
9.1,3.5,3.02,화이트와인
9.1,3.6,3.01,화이트와인
8.9,7.8,3.13,화이트와인
8.8,13.1,3.1,화이트와인
8.9,7.8,3.13,화이트와인
9.3,16.1,3.15,화이트와인
8.8,13.1,3.1,화이트와인
9.6,13.2,3.2,화이트와인
12,13.9,3.33,화이트와인
10.2,2.3,3.28,화이트와인
8.8,11.6,3.15,화이트와인
9.2,8.3,3.21,화이트와인
9.9,6.2,2.99,화이트와인
10.2,2.2,3.32,화이트와인
9.5,0.9,3.22,화이트와인
10.5,9.7,3.31,화이트와인
11.2,1.4,3.32,화이트와인
9.2,8.3,3.21,화이트와인
9.7,5.3,3.44,화이트와인
11.1,1.4,3.3,화이트와인
9.4,9.2,3.31,화이트와인
11,7,3.03,화이트와인
9.4,9.2,3.31,화이트와인
9.4,17.5,3.31,화이트와인
11,7,3.04,화이트와인
11,7,3.03,화이트와인
9.1,9.5,3,화이트와인
11.1,1.4,3.3,화이트와인
9.1,0.8,3.42,화이트와인
10.4,1.8,3.39,화이트와인
8.7,17.8,3.32,화이트와인
9.7,2.4,3.5,화이트와인
9.1,10.3,3.17,화이트와인
9.7,2.4,3.5,화이트와인
8.7,17.8,3.32,화이트와인
8.9,9.7,3.37,화이트와인
9.6,7.8,3.34,화이트와인
9.5,7.8,3.31,화이트와인
9,14.3,3.09,화이트와인
9,14.3,3.09,화이트와인
9,14.3,3.09,화이트와인
9,14.3,3.09,화이트와인
9.6,13.2,3.27,화이트와인
11.1,1.4,3.34,화이트와인
9.6,15.55,3.48,화이트와인
8.7,13.7,3.2,화이트와인
10.4,7.8,3.13,화이트와인
11.4,2.4,3.15,화이트와인
9.7,2.7,3.3,화이트와인
8.7,11.2,3.14,화이트와인
11.3,2,3.37,화이트와인
12.6,2.1,3.16,화이트와인
10.9,1.4,3.25,화이트와인
10.9,1.4,3.25,화이트와인
10,10.4,3.38,화이트와인
10,4.6,3.72,화이트와인
9.8,16.2,3.02,화이트와인
8.7,11.2,3.14,화이트와인
11.7,3.5,3.53,화이트와인
9.3,1.5,3.21,화이트와인
9.6,1.1,3.32,화이트와인
11,5.7,3.27,화이트와인
11,5.7,3.27,화이트와인
11.8,1.8,3.32,화이트와인
11.4,0.9,3.28,화이트와인
10.2,5.4,3.32,화이트와인
8.9,19.45,2.93,화이트와인
10.2,8.2,3.17,화이트와인
9.6,13.6,3.08,화이트와인
10.6,1.2,3.1,화이트와인
8.9,19.45,2.93,화이트와인
9.2,8.3,3.25,화이트와인
9.7,6.9,3.34,화이트와인
9.7,7.1,3.34,화이트와인
9.7,7,3.34,화이트와인
9.2,8.3,3.25,화이트와인
9.7,7,3.33,화이트와인
9.3,13.1,3.29,화이트와인
9,5.1,3.24,화이트와인
9.5,10.7,3.05,화이트와인
9.8,8.9,3.14,화이트와인
9.8,9.1,3.14,화이트와인
10.6,1.1,2.89,화이트와인
10.6,1.2,3.05,화이트와인
12.4,4.7,3.26,화이트와인
12.6,2.8,3.19,화이트와인
12.3,5,3.3,화이트와인
10.5,5.1,3.08,화이트와인
9.3,15.6,3.19,화이트와인
8.8,15.4,3.12,화이트와인
8.8,7.2,3.08,화이트와인
9.7,15.7,3.22,화이트와인
9,14.2,2.98,화이트와인
9,14.2,2.98,화이트와인
9,14.2,2.98,화이트와인
9,14.2,2.98,화이트와인
10.5,5.8,3.52,화이트와인
9.1,19.8,2.96,화이트와인
9.8,7.3,3.44,화이트와인
8.5,1.6,3.23,화이트와인
9.4,1.2,3.37,화이트와인
9.4,10.6,3.09,화이트와인
11.2,3.8,3.19,화이트와인
10,11.3,3.17,화이트와인
10.3,2.1,3.15,화이트와인
10.8,1.6,3.27,화이트와인
10.5,0.9,3.13,화이트와인
10.8,1.6,3.27,화이트와인
11.1,1.3,3.32,화이트와인
9.9,6.8,3.2,화이트와인
9.9,6.8,3.2,화이트와인
9.9,6.7,3.2,화이트와인
9.9,6.7,3.2,화이트와인
10.4,4.9,3.2,화이트와인
10.4,4.8,3.21,화이트와인
11.5,2.1,3.4,화이트와인
12.5,8.3,3.53,화이트와인
10,3.7,3.36,화이트와인
10,6.7,3.29,화이트와인
10,6.6,3.29,화이트와인
9.1,1.1,3.09,화이트와인
10.6,4.7,3.21,화이트와인
10.5,7.7,3.19,화이트와인
11.5,7.85,3.52,화이트와인
10.1,3.3,3.54,화이트와인
10.3,1.1,3.61,화이트와인
10.5,7.7,3.19,화이트와인
10.6,4.7,3.21,화이트와인
10.4,9.3,3.16,화이트와인
11.4,2,3.02,화이트와인
10.5,5.8,3.18,화이트와인
10,15.15,2.96,화이트와인
10,6.3,3.19,화이트와인
9.6,15.4,3.23,화이트와인
10.4,1.3,3.17,화이트와인
12.5,4.8,3.36,화이트와인
10.6,4.6,3.2,화이트와인
11.8,1.8,3.28,화이트와인
9.8,9.9,3.11,화이트와인
10.8,5.7,3.25,화이트와인
11.8,1.8,3.28,화이트와인
11.2,1.5,3.32,화이트와인
9.3,12.3,3.28,화이트와인
10.4,1.3,3.45,화이트와인
10.2,1.5,3.43,화이트와인
9,7.8,3.19,화이트와인
10,1.5,3.2,화이트와인
9.1,9.7,3.18,화이트와인
10,3,3.29,화이트와인
10,3,3.29,화이트와인
9.6,4.6,3.28,화이트와인
11.2,1.3,3.36,화이트와인
8.8,15.6,3.2,화이트와인
10,13.6,3.15,화이트와인
10,11.2,3.15,화이트와인
11.4,2.1,3.27,화이트와인
11.9,6.85,3.03,화이트와인
9.6,2.5,3.14,화이트와인
11.9,6.85,3.03,화이트와인
9.6,4.4,3.25,화이트와인
9,14.3,2.89,화이트와인
9,14.3,2.89,화이트와인
9.5,1.1,3.15,화이트와인
10.4,1.4,3,화이트와인
10.6,4.7,3.2,화이트와인
10.2,14.9,3.28,화이트와인
8.9,1.2,3.15,화이트와인
9.7,5.3,3.4,화이트와인
9,14.3,2.89,화이트와인
11.4,2.3,3.49,화이트와인
12.3,3.5,3.4,화이트와인
10.8,1.5,3.49,화이트와인
9.4,1,3.12,화이트와인
10.6,2.3,3.17,화이트와인
11.6,12.5,3.17,화이트와인
9.4,1,3.12,화이트와인
10.6,2.3,3.17,화이트와인
10,0.8,3.34,화이트와인
9.2,2.4,3.1,화이트와인
12.5,1.6,3.51,화이트와인
12.5,1.6,3.51,화이트와인
10.4,1.5,3.32,화이트와인
10,1.4,3.15,화이트와인
10,2.6,3.22,화이트와인
10.4,1.5,3.32,화이트와인
10,1.4,3.15,화이트와인
9,12.5,3.1,화이트와인
9.2,9.6,3.12,화이트와인
9.2,2.4,3.1,화이트와인
11.3,3.2,3.38,화이트와인
12.5,1.6,3.51,화이트와인
10.8,1.5,3.48,화이트와인
10.1,5.9,3.12,화이트와인
9.7,5.4,3.39,화이트와인
9.3,14.9,3.18,화이트와인
9.3,14.9,3.18,화이트와인
10.6,1.1,3.1,화이트와인
10.2,9.8,3.36,화이트와인
12.2,2,3.08,화이트와인
8.8,11.8,3.19,화이트와인
10,1.3,3.18,화이트와인
11.4,1.8,3.09,화이트와인
11.4,1.5,3.46,화이트와인
9.4,18.2,3.35,화이트와인
11.7,2.9,3.3,화이트와인
11.4,1.5,3.46,화이트와인
8.8,11.8,3.19,화이트와인
9.2,1.4,3.23,화이트와인
8.7,18.2,3.07,화이트와인
12.6,6.3,3.24,화이트와인
10,1.3,3.18,화이트와인
12.8,4,3.39,화이트와인
9.4,1.2,3.17,화이트와인
10.3,1.2,3.26,화이트와인
11.4,1.8,3.09,화이트와인
9,18.95,2.97,화이트와인
9.6,12.7,3.3,화이트와인
10.5,1.2,3.16,화이트와인
10.5,1.2,3.16,화이트와인
9,18.95,2.97,화이트와인
9.6,12.7,3.3,화이트와인
9.8,1.2,3.19,화이트와인
9,7.7,3.1,화이트와인
9.8,1.2,3.19,화이트와인
10.5,1.6,3.31,화이트와인
12.7,2.7,3.16,화이트와인
10.4,8.7,3.25,화이트와인
10.4,8.6,3.25,화이트와인
10.4,8.6,3.25,화이트와인
10.5,8.3,3.34,화이트와인
10.4,8.7,3.25,화이트와인
10.4,8.6,3.25,화이트와인
9.4,13.3,3.09,화이트와인
9.1,1.2,3.06,화이트와인
9.3,13.6,3.1,화이트와인
9.4,13.3,3.09,화이트와인
9.8,1.1,3.21,화이트와인
9.9,2.3,3.18,화이트와인
9.2,1.5,3.07,화이트와인
12.1,7.1,3.35,화이트와인
12.2,6.2,3.38,화이트와인
9.8,2.5,3.27,화이트와인
12.4,1.4,3.35,화이트와인
9.9,2.3,3.18,화이트와인
9.2,1.2,3.26,화이트와인
11.6,1.6,3.29,화이트와인
10.4,6.6,3.3,화이트와인
12.9,2.2,3.43,화이트와인
9.3,12.2,3.26,화이트와인
11,20.8,3.2,화이트와인
11.5,11,3.24,화이트와인
12.4,2.6,3.53,화이트와인
9.8,14,3.44,화이트와인
9.8,14,3.44,화이트와인
10.5,1.6,3.48,화이트와인
9.1,9.9,3.03,화이트와인
10.1,1.2,3.24,화이트와인
10.6,2.7,3.46,화이트와인
10.5,1.6,3.41,화이트와인
10.5,1.6,3.48,화이트와인
9.8,14,3.44,화이트와인
12.9,1.5,3.3,화이트와인
9.5,8.6,2.95,화이트와인
9.8,1,3.29,화이트와인
8.5,9.1,3.37,화이트와인
9.5,8.6,2.95,화이트와인
9.3,15.2,3.22,화이트와인
9.5,12.4,3.35,화이트와인
9.4,2.2,3.17,화이트와인
8.7,11,3.16,화이트와인
8.9,10,2.95,화이트와인
9.4,9,3.22,화이트와인
9.4,2.2,3.17,화이트와인
8.7,11,3.16,화이트와인
9.6,18.15,3.09,화이트와인
9.3,12.15,3,화이트와인
10,3.4,3.14,화이트와인
12.5,2,3.25,화이트와인
9.6,4.8,3.36,화이트와인
9.4,4.5,3.24,화이트와인
9.5,11,3.03,화이트와인
12.4,1.1,2.99,화이트와인
10.5,1.5,3.11,화이트와인
9.2,1.7,2.97,화이트와인
10.4,1.7,3.32,화이트와인
9.2,8.9,3.22,화이트와인
10.6,1.3,3.33,화이트와인
9.5,13.3,3.34,화이트와인
9.2,8.9,3.22,화이트와인
9.6,6.6,3.29,화이트와인
9.7,1.5,3.47,화이트와인
9.7,1.5,3.46,화이트와인
10.7,1.3,3.1,화이트와인
10.5,1.6,3.34,화이트와인
8.9,7.6,3.13,화이트와인
12.1,1,3.09,화이트와인
12.7,1.6,3.25,화이트와인
9.9,8.9,3.18,화이트와인
11.4,1.8,3.2,화이트와인
10.7,4.7,3.37,화이트와인
12.5,7,3.33,화이트와인
8.6,10.8,3.08,화이트와인
12.5,1.6,3.29,화이트와인
10,1,3.27,화이트와인
8.6,10.8,3.08,화이트와인
9.5,16.7,3.08,화이트와인
9.6,14.2,3.12,화이트와인
9.9,2.25,3.2,화이트와인
9.9,2.25,3.19,화이트와인
8.9,12.2,3.06,화이트와인
8.9,12.2,3.06,화이트와인
8.8,3.3,3.01,화이트와인
10,1.9,3.64,화이트와인
12,3.5,3.44,화이트와인
10,1.9,3.64,화이트와인
10,1.3,3.21,화이트와인
12.1,1.8,3.11,화이트와인
11,5.2,3.16,화이트와인
11.2,1.4,3.21,화이트와인
10.3,9,3.17,화이트와인
10.4,2.2,3.37,화이트와인
9.1,1.6,3.08,화이트와인
10.4,1.7,3,화이트와인
10.8,1.9,3.43,화이트와인
11.7,12.6,3.19,화이트와인
9.8,2.1,3.05,화이트와인
9.8,2.1,3.05,화이트와인
11.4,1.3,3.03,화이트와인
11.2,1.7,3.03,화이트와인
11.4,1,3.37,화이트와인
9.2,3.3,3.09,화이트와인
12.5,5,3.04,화이트와인
12.6,1.8,3.36,화이트와인
12.2,1.6,3.44,화이트와인
11.2,4.5,3.56,화이트와인
9.7,4.9,3.43,화이트와인
9.3,4,3.06,화이트와인
9,13.2,3.01,화이트와인
9,13.2,3.01,화이트와인
9,13.2,3.01,화이트와인
9.1,15.3,3.09,화이트와인
9.1,15.3,3.09,화이트와인
9,13.2,3.01,화이트와인
10.4,1.5,3.31,화이트와인
9.5,4.55,3.37,화이트와인
11.4,9.9,3.46,화이트와인
8.7,10.4,3.16,화이트와인
9.9,1.1,3.34,화이트와인
9.9,8.7,3.22,화이트와인
9,13.9,3.21,화이트와인
10,1.4,3.49,화이트와인
9.7,7.2,3.49,화이트와인
11.8,1.9,3.3,화이트와인
10.2,1.7,3.49,화이트와인
8.7,10.4,3.16,화이트와인
9.6,13.6,3.07,화이트와인
11.3,1.2,2.93,화이트와인
12.1,1.6,3,화이트와인
9.6,13.6,3.07,화이트와인
12.1,1.6,3,화이트와인
11.3,1.2,2.93,화이트와인
9.4,12.2,2.98,화이트와인
10.4,1.6,3.32,화이트와인
9.5,12.1,3.25,화이트와인
12.3,4.2,3.01,화이트와인
9.9,9.1,3.12,화이트와인
10.1,1.6,3.24,화이트와인
9.2,8.8,3.09,화이트와인
10.4,1.4,3.08,화이트와인
9.1,4.2,3.2,화이트와인
10,10.3,3.12,화이트와인
11.5,12.4,3.13,화이트와인
9.8,2.2,3.08,화이트와인
9.8,2.2,3.08,화이트와인
9.4,5.2,3.19,화이트와인
8.7,10.8,3.05,화이트와인
11.6,2.7,3.32,화이트와인
8.8,16.3,3.04,화이트와인
12.7,2.7,3.16,화이트와인
11.7,1.9,3.17,화이트와인
10.2,1.8,3.13,화이트와인
10.2,1.8,3.13,화이트와인
12.7,2.8,3.15,화이트와인
11.6,2.7,3.32,화이트와인
12.3,6,3.38,화이트와인
8.7,10.8,3.05,화이트와인
9.4,4.2,3.35,화이트와인
10.1,6.4,3.13,화이트와인
9.7,10.7,2.86,화이트와인
10.1,1.6,3.42,화이트와인
9.7,10.7,2.86,화이트와인
8.9,7.9,3.13,화이트와인
10.8,1.7,3.47,화이트와인
10.8,2.1,3.42,화이트와인
9.5,5.8,3.19,화이트와인
9.1,14.5,2.94,화이트와인
10.9,1.2,3.32,화이트와인
9.4,10.1,3.2,화이트와인
10.8,1.1,2.97,화이트와인
10.8,1,2.97,화이트와인
10.5,0.9,3.45,화이트와인
9.4,10.1,3.2,화이트와인
10.8,4.9,3.17,화이트와인
10.5,11.4,3.35,화이트와인
11.5,1.4,3.08,화이트와인
9.4,1.4,3.11,화이트와인
10.8,1.4,2.88,화이트와인
10.8,1.1,2.97,화이트와인
10.8,1,2.97,화이트와인
9.8,1.5,2.99,화이트와인
9.8,1.5,2.99,화이트와인
9.6,7.5,3.43,화이트와인
9.6,7.5,3.43,화이트와인
9.5,17.75,3.34,화이트와인
10.7,5.7,3.48,화이트와인
12.4,3.2,3.25,화이트와인
11.1,4.3,3.09,화이트와인
8.8,11,2.99,화이트와인
8.7,10.9,3,화이트와인
8.7,10.9,3,화이트와인
8.8,11,2.99,화이트와인
11.7,2.4,3.21,화이트와인
10.9,1.9,3.23,화이트와인
10.8,1.8,3.23,화이트와인
9.6,1.4,3.12,화이트와인
9,16.8,3.18,화이트와인
9,8.9,2.85,화이트와인
10.4,6.6,3.36,화이트와인
11.4,1.1,3.23,화이트와인
9.3,1.4,3.26,화이트와인
11,13.3,3.33,화이트와인
9.1,10.4,3.32,화이트와인
9.4,6.2,3.23,화이트와인
9.4,6.2,3.23,화이트와인
10.5,1.2,3.18,화이트와인
8.8,18.05,3.22,화이트와인
8.8,18.05,3.22,화이트와인
10.7,4.8,3.26,화이트와인
9.5,12.6,3.33,화이트와인
10.9,4.5,3.43,화이트와인
10.8,4.5,3.49,화이트와인
10.8,4.7,3.41,화이트와인
9.2,11.9,3.1,화이트와인
10.3,5,3.3,화이트와인
10.3,5.8,3.3,화이트와인
11,1.2,3.34,화이트와인
9,12.9,3.25,화이트와인
10.4,13.9,3.36,화이트와인
9.5,11.5,3.31,화이트와인
9.5,11.4,3.31,화이트와인
9,7.8,3.24,화이트와인
9.5,1.1,3.09,화이트와인
9,12.2,3.16,화이트와인
10,5.9,3.16,화이트와인
9.1,14.4,3.07,화이트와인
9.1,14.4,3.07,화이트와인
9.1,14.4,3.07,화이트와인
9.1,14.4,3.07,화이트와인
9.5,12.3,3.34,화이트와인
11.4,2.5,3.33,화이트와인
12.2,5.3,3.11,화이트와인
11.3,4.9,3.04,화이트와인
10.2,3.2,3.25,화이트와인
11.3,3.1,3.24,화이트와인
10,1.4,3.15,화이트와인
9.4,1.9,3.15,화이트와인
12.2,14,3.37,화이트와인
9.2,8.3,3.4,화이트와인
9.4,1.9,3.15,화이트와인
9.6,7.4,3.35,화이트와인
9.5,1.4,3.28,화이트와인
12.5,1.7,3.35,화이트와인
9.6,7.4,3.35,화이트와인
10,1.3,3.35,화이트와인
9.3,11.6,3.18,화이트와인
9.3,9.2,3.14,화이트와인
11.6,1.7,3.29,화이트와인
12.5,14.5,3.38,화이트와인
10.6,2.1,3.36,화이트와인
9.4,10.7,3.08,화이트와인
9.1,6.9,3.19,화이트와인
9,12,3.23,화이트와인
11.8,4.75,3.42,화이트와인
11.8,4.75,3.42,화이트와인
11.8,4.75,3.42,화이트와인
10,1.4,3.17,화이트와인
9.7,1.3,3.06,화이트와인
9.5,11.3,3.24,화이트와인
9.4,4.5,3.12,화이트와인
11.2,1.7,3.03,화이트와인
9,13.2,3.25,화이트와인
10.7,5.5,3.3,화이트와인
9,13,3.08,화이트와인
9.1,10.7,3.14,화이트와인
10.8,2,3.26,화이트와인
10.1,1.9,3.31,화이트와인
9.9,6.4,3.17,화이트와인
9.8,6.3,3.17,화이트와인
9.8,6.3,3.17,화이트와인
9.5,17.5,3.16,화이트와인
9.5,14.7,3.23,화이트와인
11.1,1,3.23,화이트와인
9.5,14.8,3.06,화이트와인
9.5,14.8,3.06,화이트와인
9.4,14.2,3.06,화이트와인
9.7,13.1,3.06,화이트와인
13.9,2.4,3.41,화이트와인
10.1,1.2,3.22,화이트와인
10.5,1.1,3.12,화이트와인
12.6,3.6,3.42,화이트와인
10.9,6.1,2.89,화이트와인
10,6.3,3.15,화이트와인
11.2,4.4,3.13,화이트와인
10,13.9,3.11,화이트와인
9.2,1,3.14,화이트와인
9.5,12.1,3.35,화이트와인
12.3,1.6,3.1,화이트와인
12.3,1.6,3.1,화이트와인
10,7.5,3.32,화이트와인
10.8,2.7,3.41,화이트와인
10.5,1.7,3.49,화이트와인
9.2,9.2,3.06,화이트와인
9.1,18.75,2.96,화이트와인
10.5,1.7,3.49,화이트와인
10.2,1.8,3.45,화이트와인
8.9,9,3.02,화이트와인
10.4,1.5,3.5,화이트와인
11.7,1.6,3.37,화이트와인
12.4,1.3,3.26,화이트와인
10.9,1.8,3.14,화이트와인
10.2,1.2,3.15,화이트와인
11.7,2.8,3.37,화이트와인
9.4,8,2.99,화이트와인
10.5,5.3,3.35,화이트와인
9.4,0.8,3.12,화이트와인
10.4,13.8,3.35,화이트와인
9.5,10,3.25,화이트와인
11.1,6,3.01,화이트와인
9.1,14.4,3.02,화이트와인
9.2,9.8,3.28,화이트와인
9.6,5.5,3.14,화이트와인
9.1,14.4,3.02,화이트와인
9.2,9.8,3.28,화이트와인
10.8,3.8,3.17,화이트와인
9.6,5.5,3.14,화이트와인
12.6,4.6,3.31,화이트와인
11,1.5,3.44,화이트와인
10.2,2,3.28,화이트와인
9.4,12.5,3.33,화이트와인
10,7.5,3.17,화이트와인
12.2,2.1,3.26,화이트와인
10.5,8.5,3.22,화이트와인
11.5,7.6,3.04,화이트와인
9.8,8.1,3.3,화이트와인
11.4,7.35,3.04,화이트와인
11.5,7.6,3.04,화이트와인
10.2,10,3.15,화이트와인
9.4,14,3.16,화이트와인
10.5,8.5,3.22,화이트와인
9.1,2.2,3.09,화이트와인
12.2,1.8,3.25,화이트와인
9.5,11.1,3.42,화이트와인
9.3,15.2,3.4,화이트와인
9.8,1.2,3.3,화이트와인
9.8,1.2,3.3,화이트와인
9.8,8.1,3.3,화이트와인
9.8,8.1,3.3,화이트와인
8.7,19.3,3,화이트와인
10.2,18.6,3.37,화이트와인
9.5,5,3.22,화이트와인
11,1.6,2.94,화이트와인
9.2,13.4,3.08,화이트와인
10.9,1.6,3.21,화이트와인
9.3,8.8,3.42,화이트와인
9.3,8.8,3.42,화이트와인
9.8,5.2,3.41,화이트와인
9.3,1.1,3.12,화이트와인
9.3,1.1,3.12,화이트와인
9.4,16.7,3.4,화이트와인
10.4,10.6,3.2,화이트와인
12.1,2.2,3.24,화이트와인
11,1.5,3.02,화이트와인
9,13.7,3.12,화이트와인
9.5,15,3.37,화이트와인
8.8,14.1,3.28,화이트와인
11.2,1.4,3.37,화이트와인
9.3,9.5,3.08,화이트와인
9.5,15,3.37,화이트와인
8.8,14.1,3.28,화이트와인
9,13.7,3.12,화이트와인
9.3,10.6,3.27,화이트와인
9.2,11,3.27,화이트와인
9.2,11,3.27,화이트와인
10,7,3.46,화이트와인
9.3,10.6,3.27,화이트와인
9.2,11,3.27,화이트와인
10.9,2,3.39,화이트와인
10,4.9,3.1,화이트와인
10.9,2,3.39,화이트와인
9.3,1.4,3.03,화이트와인
9,7.3,3.09,화이트와인
9.2,8.8,3.02,화이트와인
9.6,12.5,3.28,화이트와인
9.4,4.8,3.42,화이트와인
11.1,1.4,3.34,화이트와인
8.9,11.2,3.06,화이트와인
9.3,6.8,3.19,화이트와인
9.3,11.6,3.07,화이트와인
9.8,11.4,3.41,화이트와인
9.8,6.6,3.22,화이트와인
8.9,11.2,3.06,화이트와인
9.6,13.2,3.17,화이트와인
9.6,13.1,3.16,화이트와인
9,12,3.15,화이트와인
9.5,13.4,3.17,화이트와인
9.3,6.8,3.19,화이트와인
9.2,1.5,3.21,화이트와인
9.1,1.1,3.42,화이트와인
9.5,16.5,3.38,화이트와인
10.5,15.6,3.03,화이트와인
9,2.8,3.01,화이트와인
11.7,5.1,3.16,화이트와인
9.1,8.9,3.2,화이트와인
9,2.8,3.01,화이트와인
9.1,8.9,3.2,화이트와인
12.4,1.6,3.41,화이트와인
9.2,10.2,2.96,화이트와인
9.4,5.4,3.3,화이트와인
9.6,6.2,3.34,화이트와인
11.7,5.1,3.16,화이트와인
9.8,7.2,3.26,화이트와인
10.2,8.1,3.33,화이트와인
12.5,2,3.28,화이트와인
10.9,10.7,3.16,화이트와인
11,1.2,3.16,화이트와인
10.5,1.7,3.72,화이트와인
11.5,5.5,3.05,화이트와인
12.8,2.7,3.36,화이트와인
12.2,1.3,3.18,화이트와인
10.5,1.7,3.72,화이트와인
12.8,4.3,3.14,화이트와인
11.9,2.1,3.25,화이트와인
11.9,2.1,3.25,화이트와인
11.9,2.1,3.25,화이트와인
12,6,3.16,화이트와인
12,6.3,3.16,화이트와인
8.8,13.4,3.12,화이트와인
8.8,13.4,3.12,화이트와인
10.8,1.7,3.21,화이트와인
11,1.6,3.3,화이트와인
11,1.6,3.3,화이트와인
9.3,15.4,3.02,화이트와인
10.8,1.2,3.08,화이트와인
8.8,13.4,3.12,화이트와인
11.5,1.8,3.31,화이트와인
10.8,1.7,3.21,화이트와인
9.4,13.6,3.1,화이트와인
9.5,1.3,3.27,화이트와인
8.6,11.1,3.06,화이트와인
9.5,1.3,3.27,화이트와인
10.3,2.1,3.49,화이트와인
9.4,13.6,3.1,화이트와인
9.4,13.7,3.1,화이트와인
10,10.2,3.17,화이트와인
9.4,4.8,3.18,화이트와인
10.4,1.7,3.22,화이트와인
9.1,14.2,3.29,화이트와인
9.9,6.5,3.36,화이트와인
12.1,1.7,3.24,화이트와인
9.9,6.5,3.35,화이트와인
12.5,2.2,3.12,화이트와인
9.5,1.3,3.27,화이트와인
8.5,12.6,3.24,화이트와인
9,14.4,3.28,화이트와인
10.1,1.2,3.19,화이트와인
9.4,9.7,3.04,화이트와인
8.6,11.1,3.06,화이트와인
10.7,4,3.06,화이트와인
9.6,1.4,2.89,화이트와인
10.1,1.3,3.35,화이트와인
10,2.2,3.2,화이트와인
12.7,4.2,3.28,화이트와인
10.2,1.6,3.19,화이트와인
8.9,1.4,3.23,화이트와인
11.9,2.2,3.41,화이트와인
10,2.2,3.2,화이트와인
9.9,1.9,3.19,화이트와인
11.5,6,3.13,화이트와인
11.5,6,3.13,화이트와인
9.8,12.2,3.35,화이트와인
12.2,2.6,3.4,화이트와인
11.4,1.6,3.19,화이트와인
11,2,3.37,화이트와인
11.4,1.6,3.19,화이트와인
11,2,3.37,화이트와인
9.9,6.4,3.3,화이트와인
11,1.2,3.42,화이트와인
9.4,1,3.58,화이트와인
12.2,1.4,3.12,화이트와인
11,1.2,3.42,화이트와인
10.3,1.1,3.23,화이트와인
10.5,8.7,3.22,화이트와인
10.5,1.6,3.08,화이트와인
10.9,1.4,3.05,화이트와인
10.5,8.5,3.22,화이트와인
11,7.9,3.32,화이트와인
9.7,13.2,3.25,화이트와인
8.9,12.8,3.08,화이트와인
9.6,7.7,3.2,화이트와인
8.8,2.4,3.02,화이트와인
11.1,1.6,3.06,화이트와인
10.3,1.3,3.08,화이트와인
12.2,2.1,3.28,화이트와인
9.8,9.6,3.32,화이트와인
8.8,13,3.08,화이트와인
9.9,5.8,3.15,화이트와인
9.9,5.6,3.15,화이트와인
9.9,5.8,3.15,화이트와인
9.2,0.8,3.36,화이트와인
9.5,1.2,3.24,화이트와인
9.2,0.8,3.36,화이트와인
10.3,4.7,3.36,화이트와인
11,1.6,2.93,화이트와인
11.9,1.4,3.06,화이트와인
10.2,1.1,2.94,화이트와인
9.4,4.6,3.55,화이트와인
8.9,10.6,3.13,화이트와인
8.9,10.6,3.13,화이트와인
10,12.9,3.17,화이트와인
10.7,2,3.45,화이트와인
9.8,2.9,3.28,화이트와인
9.3,2.8,3.36,화이트와인
9.5,2.9,3.02,화이트와인
10,12,3.58,화이트와인
9,15,3.15,화이트와인
11.9,5.9,3.14,화이트와인
8.9,12.6,3.08,화이트와인
10,12.5,3.18,화이트와인
9.6,7.4,3.26,화이트와인
8.9,13,3.08,화이트와인
8.9,6.7,3.12,화이트와인
11.4,1.4,3.08,화이트와인
9,15,3.15,화이트와인
10,7.3,3.36,화이트와인
9.6,15.3,3.06,화이트와인
9.7,7.5,3.14,화이트와인
9.5,11.75,3.25,화이트와인
10,1.6,3.54,화이트와인
12.2,3.5,3.14,화이트와인
8.7,8,3.28,화이트와인
10.2,5,3.52,화이트와인
9.6,18.2,2.96,화이트와인
10,1.6,2.96,화이트와인
9.5,3.2,3.36,화이트와인
11.5,6.4,3.18,화이트와인
9.5,1.9,3.08,화이트와인
9.8,9.7,3.08,화이트와인
10.1,1.4,3.23,화이트와인
10,1.3,2.99,화이트와인
